Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
158;PFIS;Peoples Financial Services Corp.;49,89;-1,03%;4,53;4,00;4,00;B;B+;D;C+;A
159;LTM;LATAM Airlines Group S.A.;41,95;0,60%;4,53;3,66;4,14;A;A;A;A-;B
160;FRSH;Freshworks Inc.;14,19;-0,49%;4,52;3,83;4,20;B-;A-;A-;C;A
161;BSVN;Bank7 Corp.;46,96;-0,38%;4,52;4,00;3,66;D+;C;C;A-;A
162;NRIM;Northrim BanCorp, Inc.;86,48;-3,19%;4,52;4,00;5,00;D+;B-;D+;A-;B+
163;AKZOY;Akzo Nobel N.V.;23,017;1,00%;4,52;4,00;5,00;C;B-;B-;C;A
164;LRN;Stride, Inc.;129,94;0,56%;4,51;3,87;4,33;C;A-;B-;B+;A+
165;LE;Lands' End, Inc.;12,89;-0,31%;4,51;3,50;5,00;A-;B-;C-;B-;A+
166;CM;Canadian Imperial Bank of Commerce;73,97;0,28%;4,51;3,50;3,62;B+;C;A+;A-;B-
167;OS;OneStream, Inc.;25,01;-0,16%;4,50;3,50;4,47;D+;A+;A-;C-;A
168;CFLT;Confluent, Inc.;27,35;2,82%;4,50;3,75;4,36;B-;A+;B-;C+;B
169;RAMP;LiveRamp Holdings, Inc.;32,87;0,83%;4,50;4,00;4,25;D+;C;B+;B-;A+
170;IGIC;International General Insurance Holdings Ltd.;24;2,08%;4,50;4,00;5,00;B;C;B+;C+;B+
171;GVA;Granite Construction Incorporated;95,94;1,13%;4,50;4,00;4,00;C-;B+;C;B;A+
