Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.;Zacks_Rank;Zacks_Rating;Last_Updated
132;HEINY;Heineken N.V.;45,53;-0,87%;4,64;3,50;4,33;C;A-;A;B;A;2;Buy;2025-07-27 12:29:48
133;NOAH;Noah Holdings Limited;12,43;-0,16%;4,63;4,00;3,60;A+;A-;B;A;C;3;Hold;2025-07-27 12:29:50
134;KALU;Kaiser Aluminum Corporation;82,91;-5,91%;4,63;4,00;4,00;C+;B-;C-;B;A-;3;Hold;2025-07-27 12:29:53
135;EXEL;Exelixis, Inc.;45,6;1,81%;4,62;4,00;3,95;C+;A;A+;A;B+;2;Buy;2025-07-27 12:29:56
136;MCB;Metropolitan Bank Holding Corp.;72,97;-1,74%;4,62;4,00;4,33;B-;C+;C;A;A+;1;Strong Buy;2025-07-27 12:29:59
137;SMP;Standard Motor Products, Inc.;32,64;-1,00%;4,62;4,00;5,00;B;C+;D+;B+;A+;3;Hold;2025-07-27 12:30:02
138;ATGE;Adtalem Global Education Inc.;115,12;0,72%;4,61;4,00;4,75;C;B+;A-;A-;A+;2;Buy;2025-07-27 12:30:05
139;CFG;Citizens Financial Group, Inc.;49,49;0,43%;4,61;3,50;4,25;B;A-;B-;A-;B-;3;Hold;2025-07-27 12:30:08
140;VTOL;Bristow Group Inc.;36,01;-2,39%;4,60;4,00;5,00;C-;A-;D+;A-;A+;NR;Not Rated;2025-07-27 12:30:11
141;PSTL;Postal Realty Trust, Inc.;14,39;-0,55%;4,60;4,00;4,12;B+;A;C-;A-;A-;2;Buy;2025-07-27 12:30:14
142;PLMR;Palomar Holdings, Inc.;132,52;0,57%;4,60;4,00;4,12;D;A;A;B+;B+;2;Buy;2025-07-27 12:30:16
143;SPWH;Sportsman's Warehouse Holdings, Inc.;3,41;-3,13%;4,59;3,50;4,60;C+;C-;D+;A+;A-;2;Buy;2025-07-27 12:30:19
144;CYD;China Yuchai International Limited;23,43;-0,42%;4,59;4,00;4,00;A;C-;C-;A+;C+;3;Hold;2025-07-27 12:30:22
145;GLDD;Great Lakes Dredge & Dock Corporation;11,55;1,49%;4,57;4,00;4,66;A-;A;D;C+;A-;3;Hold;2025-07-27 12:30:25
146;CADE;Cadence Bank;36,42;3,94%;4,57;4,00;3,90;C;C;C+;B-;B+;3;Hold;2025-07-27 12:30:28
147;OHI;Omega Healthcare Investors, Inc.;39,11;0,28%;4,57;4,00;3,80;A-;C;A-;B+;A-;3;Hold;2025-07-27 12:30:31
148;PFS;Provident Financial Services, Inc.;19,04;3,76%;4,57;4,00;4,33;A-;B;C+;C-;B+;3;Hold;2025-07-27 12:30:34
149;SRAD;Sportradar Group AG;28,51;1,28%;4,56;4,00;4,42;D;A+;A-;A+;B+;3;Hold;2025-07-27 12:30:37
150;STKL;SunOpta Inc.;6,64;1,22%;4,56;4,00;4,83;C-;A+;C;A-;A+;2;Buy;2025-07-27 12:30:40
151;MX;Magnachip Semiconductor Corporation;4,14;0,73%;4,56;4,00;4,00;A+;B-;D;C;A+;3;Hold;2025-07-27 12:30:43
152;ADSK;Autodesk, Inc.;303,28;0,72%;4,55;3,60;4,34;D;C-;A+;C+;B+;3;Hold;2025-07-27 12:30:46
153;LEVI;Levi Strauss & Co.;20,45;-0,54%;4,55;3,50;4,25;C;C-;B;B+;A;1;Strong Buy;2025-07-27 12:30:48
154;EXTR;Extreme Networks, Inc.;17,85;0,79%;4,54;4,00;4,00;C-;B;C-;B+;A;3;Hold;2025-07-27 12:30:51
155;HALO;Halozyme Therapeutics, Inc.;58,24;-0,90%;4,53;3,50;3,70;C;B;A+;B;A-;3;Hold;2025-07-27 12:30:54
156;ADC;Agree Realty Corporation;73,52;-0,30%;4,53;3,83;4,23;D+;A-;A;B+;A-;3;Hold;2025-07-27 12:30:57
157;IDT;IDT Corporation;57,13;-0,49%;4,53;4,00;5,00;C-;B-;C-;B+;A+;NR;Not Rated;2025-07-27 12:31:00
158;PFIS;Peoples Financial Services Corp.;49,89;-1,03%;4,53;4,00;4,00;B;B+;D;C+;A;1;Strong Buy;2025-07-27 12:31:03
159;LTM;LATAM Airlines Group S.A.;41,95;0,60%;4,53;3,66;4,14;A;A;A;A-;B;2;Buy;2025-07-27 12:31:06
160;FRSH;Freshworks Inc.;14,19;-0,49%;4,52;3,83;4,20;B-;A-;A-;C;A;3;Hold;2025-07-27 12:31:09
161;BSVN;Bank7 Corp.;46,96;-0,38%;4,52;4,00;3,66;D+;C;C;A-;A;2;Buy;2025-07-27 12:31:11
162;NRIM;Northrim BanCorp, Inc.;86,48;-3,19%;4,52;4,00;5,00;D+;B-;D+;A-;B+;3;Hold;2025-07-27 12:31:14
163;AKZOY;Akzo Nobel N.V.;23,017;1,00%;4,52;4,00;5,00;C;B-;B-;C;A;3;Hold;2025-07-27 12:31:17
164;LRN;Stride, Inc.;129,94;0,56%;4,51;3,87;4,33;C;A-;B-;B+;A+;3;Hold;2025-07-27 12:31:20
165;LE;Lands' End, Inc.;12,89;-0,31%;4,51;3,50;5,00;A-;B-;C-;B-;A+;3;Hold;2025-07-27 12:31:23
166;CM;Canadian Imperial Bank of Commerce;73,97;0,28%;4,51;3,50;3,62;B+;C;A+;A-;B-;2;Buy;2025-07-27 12:31:26
167;OS;OneStream, Inc.;25,01;-0,16%;4,50;3,50;4,47;D+;A+;A-;C-;A;3;Hold;2025-07-27 12:31:29
168;CFLT;Confluent, Inc.;27,35;2,82%;4,50;3,75;4,36;B-;A+;B-;C+;B;3;Hold;2025-07-27 12:31:32
169;RAMP;LiveRamp Holdings, Inc.;32,87;0,83%;4,50;4,00;4,25;D+;C;B+;B-;A+;4;Sell;2025-07-27 12:31:35
170;IGIC;International General Insurance Holdings Ltd.;24;2,08%;4,50;4,00;5,00;B;C;B+;C+;B+;3;Hold;2025-07-27 12:31:38
171;GVA;Granite Construction Incorporated;95,94;1,13%;4,50;4,00;4,00;C-;B+;C;B;A+;3;Hold;2025-07-27 12:31:41
